"","vek","pohl","panas_01","panas_02","panas_03","panas_04","panas_05","panas_06","panas_07","panas_08","panas_09","panas_10","panas_11","panas_12","panas_14","panas_15","panas_16","panas_17","panas_18","panas_19","panas_20","panas_21","swls_01","swls_02","swls_03","swls_04","swls_05","cesd_01","cesd_02","cesd_03","cesd_04","cesd_05","cesd_06","cesd_07","cesd_08","cesd_09","cesd_10","bfi2s_01","bfi2s_02","bfi2s_03","bfi2s_04","bfi2s_05","bfi2s_06","bfi2s_07","bfi2s_08","bfi2s_09","bfi2s_10","bfi2s_11","bfi2s_12","bfi2s_13","bfi2s_14","bfi2s_15","bfi2s_16","bfi2s_17","bfi2s_18","bfi2s_19","bfi2s_20","bfi2s_21","bfi2s_22","bfi2s_23","bfi2s_24","bfi2s_25","bfi2s_26","bfi2s_27","bfi2s_28","bfi2s_29","bfi2s_30","bfi2s_s_extraversion","bfi2s_s_agreeableness","bfi2s_s_conscientiousness","bfi2s_s_negative_emotionality","bfi2s_s_open_mindedness","cesd_s_total","swls_s_satifaction"
"61",41,"F",3,2,3,3,3,2,2,1,3,4,3,3,1,4,2,3,3,2,3,1,4,4,4,5,3,2,1,1,2,3,1,1,3,1,2,3,5,2,3,4,3,3,3,1,1,3,3,4,4,3,3,2,3,4,3,3,5,5,5,5,4,3,3,3,3,17,23,22,12,23,15,4
"62",52,"F",5,2,4,3,3,1,2,1,4,4,3,4,1,4,4,3,4,3,5,3,6,5,5,5,4,2,2,2,2,3,2,1,3,1,2,1,4,2,4,5,4,1,2,2,2,4,3,4,3,4,5,2,4,3,5,2,4,4,3,5,2,4,2,5,1,26,22,24,20,28,18,5
"63",47,"F",3,2,3,4,2,3,1,1,3,3,4,3,2,3,4,4,2,4,4,2,4,4,5,5,2,1,2,2,2,3,1,1,3,1,3,2,4,4,4,2,3,3,3,4,2,4,3,4,1,3,5,4,1,3,1,3,4,2,3,4,1,4,4,5,4,24,18,14,24,16,17,4
"64",50,"F",4,1,4,2,4,1,1,2,4,4,2,4,1,4,2,3,4,2,4,2,3,3,5,4,5,1,2,1,2,3,1,2,3,2,1,2,5,2,2,4,4,1,2,1,2,4,2,5,4,4,4,2,4,4,3,2,4,4,4,4,2,4,2,4,2,24,22,25,13,23,16,4
"65",47,"M",4,4,3,4,2,2,1,1,3,2,1,4,1,2,4,2,3,5,3,4,3,3,3,6,2,1,2,1,1,1,4,3,1,3,4,5,5,4,5,5,1,3,5,5,1,3,1,4,2,3,1,4,5,1,3,3,3,4,2,5,3,5,4,4,2,12,15,18,27,25,27,3.4
"66",43,"F",4,1,3,1,4,1,1,1,3,2,2,3,1,4,3,4,3,2,4,2,7,5,6,7,5,1,1,1,2,3,2,2,2,1,1,2,4,4,4,4,4,2,2,2,2,3,3,3,4,4,4,3,1,2,2,2,4,2,4,3,2,2,4,3,3,23,22,14,17,20,16,6
"67",48,"F",3,4,3,2,2,4,3,2,2,3,4,3,1,3,4,2,3,4,3,4,4,5,3,5,6,2,2,3,3,2,4,1,2,3,1,4,4,2,3,2,2,2,1,4,2,4,4,5,2,4,4,3,4,2,2,4,5,5,5,5,4,3,3,4,2,16,23,26,20,21,25,4.6
"68",44,"F",3,2,2,3,3,1,1,1,2,3,3,3,2,2,2,2,3,2,3,4,3,2,3,5,3,1,1,1,1,2,1,1,1,1,1,4,4,1,4,2,1,1,2,2,4,3,2,4,2,2,4,4,4,3,2,3,4,4,3,4,4,2,3,2,2,15,21,24,18,16,15,3.2
"69",54,"M",3,2,4,4,3,1,1,1,4,4,3,4,2,3,3,3,4,3,3,3,3,4,5,5,3,3,2,1,3,2,1,3,2,1,1,2,5,2,4,4,4,1,1,1,2,3,4,4,4,3,5,1,4,4,5,3,5,5,3,4,2,4,2,4,1,23,26,26,16,25,21,4
"70",57,"F",4,1,4,2,3,2,1,1,4,4,3,4,1,5,2,4,5,2,4,2,5,4,6,4,3,1,3,1,1,3,1,1,3,1,2,2,4,3,4,5,2,1,3,1,1,3,3,3,3,3,4,2,3,2,4,4,4,4,4,4,4,2,3,3,2,17,24,19,17,25,15,4.4
"71",43,"M",4,1,3,3,3,1,1,1,4,4,1,4,1,4,3,5,5,1,5,1,5,5,5,4,6,1,1,1,1,1,1,1,3,2,1,2,3,1,2,4,3,1,1,1,2,4,5,5,3,4,4,2,4,4,3,2,5,4,4,4,1,2,1,2,1,24,26,28,12,24,15,5
"72",40,"F",4,2,3,3,4,1,1,1,4,4,2,3,2,4,2,5,3,3,4,2,5,5,6,6,6,2,3,2,2,4,2,1,3,1,1,2,4,3,2,5,4,2,3,1,2,4,3,4,4,5,4,2,3,4,5,2,4,4,4,5,2,3,2,4,1,24,22,21,13,29,17,5.6
"73",40,"F",4,4,2,2,4,1,4,1,1,1,4,2,1,3,1,2,1,3,4,4,2,4,4,3,3,1,4,3,1,1,3,4,1,3,1,3,4,1,5,4,1,1,2,4,1,4,4,5,4,5,4,3,5,3,4,3,4,4,2,4,1,4,1,5,1,20,22,28,23,27,28,3.2
"74",40,"F",4,1,3,3,4,2,1,1,3,3,3,3,1,4,4,4,4,3,4,4,6,6,6,6,7,1,2,1,1,4,1,2,4,1,2,3,5,2,4,5,3,1,2,2,4,4,4,4,3,3,4,4,4,4,4,2,4,4,3,4,2,5,1,4,2,22,21,25,18,22,13,6.2
"75",40,"M",5,1,4,2,5,1,2,2,5,5,2,4,1,5,1,5,4,2,5,1,7,7,7,7,7,1,1,2,2,4,2,2,3,1,1,2,4,3,4,2,4,2,1,1,1,4,3,4,4,5,5,2,4,4,2,2,4,5,3,4,1,2,1,4,1,26,23,26,16,23,15,7
"76",52,"M",5,2,5,3,4,1,1,2,5,3,2,3,1,4,2,4,3,1,5,1,3,3,5,7,5,2,2,2,1,2,1,1,4,2,1,3,3,3,4,5,5,3,2,2,1,4,3,4,4,4,4,3,3,4,5,3,4,4,4,4,2,3,3,4,1,23,19,21,16,28,16,4.6
"77",57,"F",4,1,3,1,4,3,1,1,4,2,2,3,2,3,2,3,3,2,3,2,5,5,6,7,4,1,2,1,2,4,1,1,4,1,3,4,5,4,4,5,2,4,4,1,4,4,5,5,4,3,5,2,1,4,3,4,5,4,4,5,5,2,4,5,4,16,25,16,16,20,14,5.4
"78",43,"M",4,1,4,2,3,4,1,2,4,4,3,4,2,4,3,4,4,2,4,2,6,6,5,5,4,1,1,1,1,3,1,1,4,1,1,3,4,2,2,5,3,1,1,1,1,4,4,2,4,4,4,2,1,5,5,4,4,3,5,4,2,2,4,3,1,20,25,17,10,28,11,5.2
